Stationscode;Datum;"Feinstaub (PM₁₀) Tagesmittel (stündlich gleitend) in µg/m³";"Ozon (O₃) Ein-Stunden-Mittelwert in µg/m³";"Stickstoffdioxid (NO₂) Ein-Stunden-Mittelwert in µg/m³";"Feinstaub (PM₂,₅) Tagesmittel (stündlich gleitend) in µg/m³";Luftqualitätsindex
DENI062;"'08.01.2024 24:00'";7;54;14;-;"sehr gut"
DENI062;"'09.01.2024 01:00'";7;59;9;-;"sehr gut"
DENI062;"'09.01.2024 02:00'";7;60;5;-;"sehr gut"
DENI062;"'09.01.2024 03:00'";7;59;4;-;"sehr gut"
DENI062;"'09.01.2024 04:00'";7;54;6;-;"sehr gut"
DENI062;"'09.01.2024 05:00'";7;47;9;-;"sehr gut"
DENI062;"'09.01.2024 06:00'";7;40;17;-;"sehr gut"
DENI062;"'09.01.2024 07:00'";7;15;39;-;gut
DENI062;"'09.01.2024 08:00'";7;44;13;-;"sehr gut"
DENI062;"'09.01.2024 09:00'";7;36;26;-;gut
DENI062;"'09.01.2024 10:00'";7;43;18;-;"sehr gut"
DENI062;"'09.01.2024 11:00'";6;51;13;-;"sehr gut"
DENI062;"'09.01.2024 12:00'";6;55;13;-;"sehr gut"
DENI062;"'09.01.2024 13:00'";6;56;8;-;"sehr gut"
DENI062;"'09.01.2024 14:00'";7;57;11;-;"sehr gut"
DENI062;"'09.01.2024 15:00'";7;62;13;-;gut
DENI062;"'09.01.2024 16:00'";7;59;12;-;"sehr gut"
DENI062;"'09.01.2024 17:00'";7;47;20;-;"sehr gut"
DENI062;"'09.01.2024 18:00'";8;37;29;-;gut
DENI062;"'09.01.2024 19:00'";9;39;26;-;gut
DENI062;"'09.01.2024 20:00'";10;29;32;-;gut
DENI062;"'09.01.2024 21:00'";10;10;49;-;mäßig
DENI062;"'09.01.2024 22:00'";11;15;44;-;mäßig
DENI062;"'09.01.2024 23:00'";12;-;35;-;gut
DENI062;"'09.01.2024 24:00'";12;40;-;-;"sehr gut"
DENI062;"'10.01.2024 01:00'";13;36;18;-;"sehr gut"
DENI062;"'10.01.2024 02:00'";13;26;22;-;gut
DENI062;"'10.01.2024 03:00'";14;14;32;-;gut
DENI062;"'10.01.2024 04:00'";15;30;16;-;"sehr gut"
DENI062;"'10.01.2024 05:00'";16;37;11;-;"sehr gut"
DENI062;"'10.01.2024 06:00'";16;26;20;-;"sehr gut"
DENI062;"'10.01.2024 07:00'";17;32;14;-;"sehr gut"
DENI062;"'10.01.2024 08:00'";17;30;17;-;"sehr gut"
DENI062;"'10.01.2024 09:00'";18;30;21;-;gut
DENI062;"'10.01.2024 10:00'";19;43;13;-;"sehr gut"
DENI062;"'10.01.2024 11:00'";19;48;10;-;"sehr gut"
DENI062;"'10.01.2024 12:00'";20;51;10;-;"sehr gut"
DENI062;"'10.01.2024 13:00'";20;56;9;-;"sehr gut"
DENI062;"'10.01.2024 14:00'";20;57;9;-;"sehr gut"
DENI062;"'10.01.2024 15:00'";21;58;9;-;gut
DENI062;"'10.01.2024 16:00'";21;54;11;-;gut
DENI062;"'10.01.2024 17:00'";21;51;12;-;gut
DENI062;"'10.01.2024 18:00'";20;56;10;-;"sehr gut"
DENI062;"'10.01.2024 19:00'";19;57;9;-;"sehr gut"
DENI062;"'10.01.2024 20:00'";18;59;8;-;"sehr gut"
DENI062;"'10.01.2024 21:00'";18;59;7;-;"sehr gut"
DENI062;"'10.01.2024 22:00'";18;59;7;-;"sehr gut"
DENI062;"'10.01.2024 23:00'";18;59;7;-;"sehr gut"
DENI062;"'10.01.2024 24:00'";17;-;7;-;"sehr gut"
DENI062;"'11.01.2024 01:00'";17;58;-;-;"sehr gut"
DENI062;"'11.01.2024 02:00'";17;59;6;-;"sehr gut"
DENI062;"'11.01.2024 03:00'";16;56;9;-;"sehr gut"
DENI062;"'11.01.2024 04:00'";16;53;10;-;"sehr gut"
DENI062;"'11.01.2024 05:00'";16;46;14;-;"sehr gut"
DENI062;"'11.01.2024 06:00'";16;28;30;-;gut
DENI062;"'11.01.2024 07:00'";16;23;33;-;gut
DENI062;"'11.01.2024 08:00'";17;10;45;-;mäßig
DENI062;"'11.01.2024 09:00'";17;8;47;-;mäßig
DENI062;"'11.01.2024 10:00'";18;23;31;-;gut
DENI062;"'11.01.2024 11:00'";19;28;29;-;gut
DENI062;"'11.01.2024 12:00'";19;28;31;-;gut
DENI062;"'11.01.2024 13:00'";19;28;28;-;gut
DENI062;"'11.01.2024 14:00'";19;32;27;-;gut
DENI062;"'11.01.2024 15:00'";19;32;25;-;gut
DENI062;"'11.01.2024 16:00'";19;25;30;-;gut
DENI062;"'11.01.2024 17:00'";20;20;38;-;gut
DENI062;"'11.01.2024 18:00'";20;13;45;-;mäßig
DENI062;"'11.01.2024 19:00'";20;21;42;-;mäßig
DENI062;"'11.01.2024 20:00'";21;23;41;-;mäßig
DENI062;"'11.01.2024 21:00'";21;11;53;-;mäßig
DENI062;"'11.01.2024 22:00'";21;15;45;-;mäßig
DENI062;"'11.01.2024 23:00'";21;13;45;-;mäßig
DENI062;"'11.01.2024 24:00'";21;14;41;-;mäßig
DENI062;"'12.01.2024 01:00'";21;-;34;-;gut
DENI062;"'12.01.2024 02:00'";21;20;-;-;gut
DENI062;"'12.01.2024 03:00'";21;18;24;-;gut
DENI062;"'12.01.2024 04:00'";20;16;24;-;gut
DENI062;"'12.01.2024 05:00'";20;13;25;-;gut
DENI062;"'12.01.2024 06:00'";20;8;33;-;gut
DENI062;"'12.01.2024 07:00'";19;8;32;-;gut
DENI062;"'12.01.2024 08:00'";18;15;26;-;gut
DENI062;"'12.01.2024 09:00'";17;18;25;-;gut
DENI062;"'12.01.2024 10:00'";16;26;19;-;"sehr gut"
DENI062;"'12.01.2024 11:00'";15;28;20;-;"sehr gut"
DENI062;"'12.01.2024 12:00'";15;27;24;-;gut
DENI062;"'12.01.2024 13:00'";14;34;21;-;gut
DENI062;"'12.01.2024 14:00'";14;35;20;-;"sehr gut"
DENI062;"'12.01.2024 15:00'";14;36;20;-;"sehr gut"
DENI062;"'12.01.2024 16:00'";13;37;21;-;gut
DENI062;"'12.01.2024 17:00'";13;38;23;-;gut
DENI062;"'12.01.2024 18:00'";12;42;23;-;gut
DENI062;"'12.01.2024 19:00'";12;50;19;-;"sehr gut"
DENI062;"'12.01.2024 20:00'";12;62;12;-;gut
DENI062;"'12.01.2024 21:00'";11;62;11;-;gut
DENI062;"'12.01.2024 22:00'";11;61;10;-;gut
DENI062;"'12.01.2024 23:00'";10;62;8;-;gut
DENI062;"'12.01.2024 24:00'";10;62;7;-;gut
DENI062;"'13.01.2024 01:00'";10;61;7;-;gut
DENI062;"'13.01.2024 02:00'";10;-;5;-;"sehr gut"
DENI062;"'13.01.2024 03:00'";9;67;-;-;gut
DENI062;"'13.01.2024 04:00'";9;63;6;-;gut
DENI062;"'13.01.2024 05:00'";8;64;5;-;gut
DENI062;"'13.01.2024 06:00'";8;64;5;-;gut
DENI062;"'13.01.2024 07:00'";7;65;5;-;gut
DENI062;"'13.01.2024 08:00'";7;64;6;-;gut
DENI062;"'13.01.2024 09:00'";7;65;6;-;gut
DENI062;"'13.01.2024 10:00'";6;64;6;-;gut
DENI062;"'13.01.2024 11:00'";6;64;7;-;gut
DENI062;"'13.01.2024 12:00'";5;63;8;-;gut
DENI062;"'13.01.2024 13:00'";5;63;8;-;gut
DENI062;"'13.01.2024 14:00'";5;60;8;-;"sehr gut"
DENI062;"'13.01.2024 15:00'";5;55;9;-;"sehr gut"
DENI062;"'13.01.2024 16:00'";4;53;10;-;"sehr gut"
DENI062;"'13.01.2024 17:00'";4;50;11;-;"sehr gut"
DENI062;"'13.01.2024 18:00'";4;54;10;-;"sehr gut"
DENI062;"'13.01.2024 19:00'";4;59;9;-;"sehr gut"
